Day,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),State,Precip.(inch),Snow(inch),Snowdepth(inch)
14 may,85,58.9,2.24,24.49,0,0,Climate Addison - Alabama,NA,NA,NA
15 may,85.2,59.2,2.4,24.65,0,0,Climate Addison - Alabama,NA,NA,NA
16 may,85.4,59.5,2.56,24.8,0,0,Climate Addison - Alabama,NA,NA,NA
17 may,85.6,59.8,2.72,24.96,0,0,Climate Addison - Alabama,NA,NA,NA
18 may,85.9,60.1,2.87,25.12,0,0,Climate Addison - Alabama,NA,NA,NA
19 may,86.1,60.4,3.03,25.28,0,0,Climate Addison - Alabama,NA,NA,NA
20 may,86.3,60.6,3.19,25.43,0,0,Climate Addison - Alabama,NA,NA,NA
21 may,86.5,60.9,3.35,25.59,0,0,Climate Addison - Alabama,NA,NA,NA
22 may,86.7,61.2,3.5,25.75,0,0,Climate Addison - Alabama,NA,NA,NA
23 may,86.9,61.5,3.66,25.91,0,0,Climate Addison - Alabama,NA,NA,NA
24 may,87.1,61.8,3.86,26.06,0,0,Climate Addison - Alabama,NA,NA,NA
25 may,87.3,62.1,4.02,26.22,0,0,Climate Addison - Alabama,NA,NA,NA
26 may,87.4,62.4,4.17,26.42,0,0,Climate Addison - Alabama,NA,NA,NA
27 may,87.6,62.6,4.33,26.57,0,0,Climate Addison - Alabama,NA,NA,NA
28 may,87.8,62.9,4.49,26.69,0,0,Climate Addison - Alabama,NA,NA,NA
29 may,88,63.2,4.65,26.89,0,0,Climate Addison - Alabama,NA,NA,NA
30 may,88.1,63.4,4.8,27.05,0,0,Climate Addison - Alabama,NA,NA,NA
31 may,88.3,63.7,4.96,27.2,0,0,Climate Addison - Alabama,NA,NA,NA
1 jun,88.4,64,0.2,27.4,0,0,Climate Addison - Alabama,NA,NA,NA
2 jun,88.6,64.2,0.35,27.6,0,0,Climate Addison - Alabama,NA,NA,NA
3 jun,88.7,64.5,0.55,27.76,0,0,Climate Addison - Alabama,NA,NA,NA
4 jun,88.9,64.7,0.75,27.95,0,0,Climate Addison - Alabama,NA,NA,NA
5 jun,89,65,0.91,28.15,0,0,Climate Addison - Alabama,NA,NA,NA
6 jun,89.1,65.2,1.1,28.31,0,0,Climate Addison - Alabama,NA,NA,NA
7 jun,89.2,65.5,1.3,28.5,0,0,Climate Addison - Alabama,NA,NA,NA
8 jun,89.4,65.7,1.5,28.7,0,0,Climate Addison - Alabama,NA,NA,NA
9 jun,89.5,65.9,1.69,28.9,0,0,Climate Addison - Alabama,NA,NA,NA
10 jun,89.6,66.2,1.85,29.09,0,0,Climate Addison - Alabama,NA,NA,NA
11 jun,89.7,66.4,2.09,29.29,0,0,Climate Addison - Alabama,NA,NA,NA
12 jun,89.8,66.6,2.28,29.49,0,0,Climate Addison - Alabama,NA,NA,NA
13 jun,89.9,66.8,2.48,29.69,0,0,Climate Addison - Alabama,NA,NA,NA
14 jun,90,67,2.68,29.88,0,0,Climate Addison - Alabama,NA,NA,NA
15 jun,90.1,67.2,2.91,30.12,0,0,Climate Addison - Alabama,NA,NA,NA
16 jun,90.2,67.4,3.11,30.31,0,0,Climate Addison - Alabama,NA,NA,NA
17 jun,90.2,67.6,3.35,30.55,0,0,Climate Addison - Alabama,NA,NA,NA
18 jun,90.3,67.8,3.54,30.75,0,0,Climate Addison - Alabama,NA,NA,NA
19 jun,90.4,68,3.74,30.94,0,0,Climate Addison - Alabama,NA,NA,NA
20 jun,90.5,68.1,3.94,31.14,0,0,Climate Addison - Alabama,NA,NA,NA
21 jun,90.6,68.3,4.17,31.38,0,0,Climate Addison - Alabama,NA,NA,NA
22 jun,90.6,68.5,4.37,31.57,0,0,Climate Addison - Alabama,NA,NA,NA
23 jun,90.7,68.6,4.57,31.77,0,0,Climate Addison - Alabama,NA,NA,NA
24 jun,90.8,68.7,4.76,32.01,0,0,Climate Addison - Alabama,NA,NA,NA
25 jun,90.8,68.9,5,32.2,0,0,Climate Addison - Alabama,NA,NA,NA
26 jun,90.9,69,5.2,32.4,0,0,Climate Addison - Alabama,NA,NA,NA
27 jun,91,69.1,5.39,32.6,0,0,Climate Addison - Alabama,NA,NA,NA
28 jun,91,69.3,5.59,32.8,0,0,Climate Addison - Alabama,NA,NA,NA
29 jun,91.1,69.4,5.83,33.03,0,0,Climate Addison - Alabama,NA,NA,NA
30 jun,91.1,69.5,6.02,33.27,0,0,Climate Addison - Alabama,NA,NA,NA
1 jul,91.2,69.6,0.2,33.43,0,0,Climate Addison - Alabama,NA,NA,NA
2 jul,91.2,69.7,0.39,33.62,0,0,Climate Addison - Alabama,NA,NA,NA
3 jul,91.3,69.7,0.59,33.82,0,0,Climate Addison - Alabama,NA,NA,NA
4 jul,91.3,69.8,0.79,34.02,0,0,Climate Addison - Alabama,NA,NA,NA
5 jul,91.4,69.9,0.98,34.21,0,0,Climate Addison - Alabama,NA,NA,NA
6 jul,91.4,70,1.18,34.41,0,0,Climate Addison - Alabama,NA,NA,NA
7 jul,91.5,70,1.38,34.61,0,0,Climate Addison - Alabama,NA,NA,NA
8 jul,91.5,70.1,1.57,34.84,0,0,Climate Addison - Alabama,NA,NA,NA
9 jul,91.6,70.1,1.77,35.04,0,0,Climate Addison - Alabama,NA,NA,NA
10 jul,91.6,70.2,2.01,35.24,0,0,Climate Addison - Alabama,NA,NA,NA
11 jul,91.6,70.2,2.2,35.47,0,0,Climate Addison - Alabama,NA,NA,NA
12 jul,91.7,70.2,2.4,35.67,0,0,Climate Addison - Alabama,NA,NA,NA
13 jul,91.7,70.3,2.64,35.87,0,0,Climate Addison - Alabama,NA,NA,NA
14 jul,91.7,70.3,2.83,36.1,0,0,Climate Addison - Alabama,NA,NA,NA
15 jul,91.8,70.3,3.03,36.3,0,0,Climate Addison - Alabama,NA,NA,NA
16 jul,91.8,70.3,3.27,36.5,0,0,Climate Addison - Alabama,NA,NA,NA
17 jul,91.8,70.3,3.46,36.73,0,0,Climate Addison - Alabama,NA,NA,NA
18 jul,91.8,70.3,3.7,36.93,0,0,Climate Addison - Alabama,NA,NA,NA
19 jul,91.8,70.4,3.94,37.17,0,0,Climate Addison - Alabama,NA,NA,NA
20 jul,91.9,70.4,4.17,37.4,0,0,Climate Addison - Alabama,NA,NA,NA
21 jul,91.9,70.4,4.41,37.64,0,0,Climate Addison - Alabama,NA,NA,NA
22 jul,91.9,70.4,4.65,37.91,0,0,Climate Addison - Alabama,NA,NA,NA
23 jul,91.9,70.4,4.88,38.15,0,0,Climate Addison - Alabama,NA,NA,NA
24 jul,91.9,70.4,5.12,38.39,0,0,Climate Addison - Alabama,NA,NA,NA
25 jul,91.9,70.4,5.35,38.62,0,0,Climate Addison - Alabama,NA,NA,NA
26 jul,91.9,70.4,5.59,38.86,0,0,Climate Addison - Alabama,NA,NA,NA
27 jul,91.9,70.4,5.83,39.09,0,0,Climate Addison - Alabama,NA,NA,NA
28 jul,91.9,70.4,6.06,39.29,0,0,Climate Addison - Alabama,NA,NA,NA
29 jul,91.9,70.4,6.3,39.53,0,0,Climate Addison - Alabama,NA,NA,NA
30 jul,91.9,70.4,6.54,39.76,0,0,Climate Addison - Alabama,NA,NA,NA
31 jul,91.9,70.4,6.77,40.04,0,0,Climate Addison - Alabama,NA,NA,NA
1 aug,91.9,70.4,0.24,40.28,0,0,Climate Addison - Alabama,NA,NA,NA
2 aug,91.9,70.4,0.47,40.51,0,0,Climate Addison - Alabama,NA,NA,NA
3 aug,91.9,70.4,0.71,40.75,0,0,Climate Addison - Alabama,NA,NA,NA
4 aug,91.8,70.4,0.94,40.98,0,0,Climate Addison - Alabama,NA,NA,NA
5 aug,91.8,70.4,1.18,41.22,0,0,Climate Addison - Alabama,NA,NA,NA
6 aug,91.8,70.4,1.42,41.46,0,0,Climate Addison - Alabama,NA,NA,NA
7 aug,91.8,70.4,1.65,41.65,0,0,Climate Addison - Alabama,NA,NA,NA
8 aug,91.7,70.4,1.85,41.89,0,0,Climate Addison - Alabama,NA,NA,NA
9 aug,91.7,70.4,2.09,42.09,0,0,Climate Addison - Alabama,NA,NA,NA
10 aug,91.7,70.4,2.28,42.32,0,0,Climate Addison - Alabama,NA,NA,NA
11 aug,91.7,70.3,2.52,42.52,0,0,Climate Addison - Alabama,NA,NA,NA
12 aug,91.6,70.3,2.72,42.72,0,0,Climate Addison - Alabama,NA,NA,NA
13 aug,91.6,70.3,2.91,42.95,0,0,Climate Addison - Alabama,NA,NA,NA
14 aug,91.5,70.3,3.15,43.15,0,0,Climate Addison - Alabama,NA,NA,NA
15 aug,91.5,70.3,3.35,43.35,0,0,Climate Addison - Alabama,NA,NA,NA
16 aug,91.4,70.2,3.54,43.54,0,0,Climate Addison - Alabama,NA,NA,NA
17 aug,91.4,70.2,3.74,43.78,0,0,Climate Addison - Alabama,NA,NA,NA
18 aug,91.3,70.1,3.94,43.98,0,0,Climate Addison - Alabama,NA,NA,NA
19 aug,91.3,70.1,4.13,44.17,0,0,Climate Addison - Alabama,NA,NA,NA
20 aug,91.2,70,4.33,44.33,0,0,Climate Addison - Alabama,NA,NA,NA
21 aug,91.1,70,4.53,44.57,0,0,Climate Addison - Alabama,NA,NA,NA
22 aug,91.1,69.9,4.72,44.72,0,0,Climate Addison - Alabama,NA,NA,NA
23 aug,91,69.8,4.92,44.92,0,0,Climate Addison - Alabama,NA,NA,NA
24 aug,90.9,69.7,5.12,45.12,0,0,Climate Addison - Alabama,NA,NA,NA
25 aug,90.8,69.6,5.28,45.31,0,0,Climate Addison - Alabama,NA,NA,NA
26 aug,90.7,69.5,5.47,45.51,0,0,Climate Addison - Alabama,NA,NA,NA
27 aug,90.6,69.4,5.67,45.71,0,0,Climate Addison - Alabama,NA,NA,NA
28 aug,90.5,69.3,5.87,45.87,0,0,Climate Addison - Alabama,NA,NA,NA
29 aug,90.4,69.1,6.02,46.06,0,0,Climate Addison - Alabama,NA,NA,NA
30 aug,90.3,69,6.22,46.22,0,0,Climate Addison - Alabama,NA,NA,NA
31 aug,90.2,68.8,6.38,46.42,0,0,Climate Addison - Alabama,NA,NA,NA
1 sep,90.1,68.6,0.2,46.57,0,0,Climate Addison - Alabama,NA,NA,NA
2 sep,89.9,68.4,0.35,46.77,0,0,Climate Addison - Alabama,NA,NA,NA
3 sep,89.8,68.2,0.55,46.97,0,0,Climate Addison - Alabama,NA,NA,NA
4 sep,89.7,68,0.75,47.13,0,0,Climate Addison - Alabama,NA,NA,NA
5 sep,89.5,67.8,0.91,47.32,0,0,Climate Addison - Alabama,NA,NA,NA
6 sep,89.4,67.5,1.1,47.52,0,0,Climate Addison - Alabama,NA,NA,NA
7 sep,89.2,67.3,1.26,47.68,0,0,Climate Addison - Alabama,NA,NA,NA
8 sep,89,67,1.46,47.87,0,0,Climate Addison - Alabama,NA,NA,NA
9 sep,88.8,66.7,1.65,48.03,0,0,Climate Addison - Alabama,NA,NA,NA
10 sep,88.7,66.4,1.81,48.23,0,0,Climate Addison - Alabama,NA,NA,NA
11 sep,88.5,66.1,2.01,48.43,0,0,Climate Addison - Alabama,NA,NA,NA
12 sep,88.3,65.8,2.2,48.62,0,0,Climate Addison - Alabama,NA,NA,NA
13 sep,88.1,65.5,2.4,48.82,0,0,Climate Addison - Alabama,NA,NA,NA
14 sep,87.8,65.2,2.6,49.02,0,0,Climate Addison - Alabama,NA,NA,NA
15 sep,87.6,64.8,2.8,49.21,0,0,Climate Addison - Alabama,NA,NA,NA
16 sep,87.4,64.5,2.99,49.41,0,0,Climate Addison - Alabama,NA,NA,NA
17 sep,87.2,64.1,3.23,49.61,0,0,Climate Addison - Alabama,NA,NA,NA
18 sep,86.9,63.7,3.39,49.8,0,0,Climate Addison - Alabama,NA,NA,NA
19 sep,86.7,63.3,3.58,50,0,0,Climate Addison - Alabama,NA,NA,NA
20 sep,86.4,63,3.78,50.2,0,0,Climate Addison - Alabama,NA,NA,NA
21 sep,86.2,62.6,3.98,50.39,0,0,Climate Addison - Alabama,NA,NA,NA
22 sep,85.9,62.2,4.17,50.59,0,0,Climate Addison - Alabama,NA,NA,NA
23 sep,85.7,61.7,4.37,50.79,0,0,Climate Addison - Alabama,NA,NA,NA
24 sep,85.4,61.3,4.57,50.98,0,0,Climate Addison - Alabama,NA,NA,NA
25 sep,85.1,60.9,4.76,51.14,0,0,Climate Addison - Alabama,NA,NA,NA
26 sep,84.9,60.5,4.92,51.34,0,0,Climate Addison - Alabama,NA,NA,NA
27 sep,84.6,60.1,5.12,51.54,0,0,Climate Addison - Alabama,NA,NA,NA
28 sep,84.3,59.7,5.28,51.69,0,0,Climate Addison - Alabama,NA,NA,NA
29 sep,84.1,59.2,5.43,51.85,0,0,Climate Addison - Alabama,NA,NA,NA
30 sep,83.8,58.8,5.63,52.05,0,0,Climate Addison - Alabama,NA,NA,NA
1 oct,83.5,58.4,0.16,52.17,0,0,Climate Addison - Alabama,NA,NA,NA
2 oct,83.2,58,0.28,52.32,0,0,Climate Addison - Alabama,NA,NA,NA
3 oct,82.9,57.5,0.39,52.44,0,0,Climate Addison - Alabama,NA,NA,NA
4 oct,82.7,57.1,0.55,52.6,0,0,Climate Addison - Alabama,NA,NA,NA
5 oct,82.4,56.7,0.67,52.72,0,0,Climate Addison - Alabama,NA,NA,NA
6 oct,82.1,56.3,0.83,52.87,0,0,Climate Addison - Alabama,NA,NA,NA
7 oct,81.8,55.9,0.94,52.99,0,0,Climate Addison - Alabama,NA,NA,NA
8 oct,81.6,55.5,1.06,53.11,0,0,Climate Addison - Alabama,NA,NA,NA
9 oct,81.3,55.1,1.18,53.23,0,0,Climate Addison - Alabama,NA,NA,NA
10 oct,81,54.7,1.34,53.35,0,0,Climate Addison - Alabama,NA,NA,NA
11 oct,80.7,54.3,1.42,53.46,0,0,Climate Addison - Alabama,NA,NA,NA
12 oct,80.5,53.9,1.54,53.58,0,0,Climate Addison - Alabama,NA,NA,NA
13 oct,80.2,53.5,1.65,53.66,0,0,Climate Addison - Alabama,NA,NA,NA
14 oct,79.9,53.1,1.73,53.78,0,0,Climate Addison - Alabama,NA,NA,NA
15 oct,79.7,52.7,1.81,53.86,0,0,Climate Addison - Alabama,NA,NA,NA
16 oct,79.4,52.4,1.93,53.98,0,0,Climate Addison - Alabama,NA,NA,NA
17 oct,79.2,52,2.05,54.09,0,0,Climate Addison - Alabama,NA,NA,NA
18 oct,78.9,51.7,2.13,54.17,0,0,Climate Addison - Alabama,NA,NA,NA
19 oct,78.7,51.3,2.24,54.29,0,0,Climate Addison - Alabama,NA,NA,NA
20 oct,78.4,51,2.32,54.37,0,0,Climate Addison - Alabama,NA,NA,NA
21 oct,78.2,50.6,2.44,54.49,0,0,Climate Addison - Alabama,NA,NA,NA
22 oct,77.9,50.3,2.52,54.57,0,0,Climate Addison - Alabama,NA,NA,NA
23 oct,77.7,50,2.64,54.69,0,0,Climate Addison - Alabama,NA,NA,NA
24 oct,77.4,49.7,2.76,54.8,0,0,Climate Addison - Alabama,NA,NA,NA
25 oct,77.2,49.3,2.87,54.92,0,0,Climate Addison - Alabama,NA,NA,NA
26 oct,76.9,49,2.99,55.04,0,0,Climate Addison - Alabama,NA,NA,NA
27 oct,76.7,48.7,3.11,55.16,0,0,Climate Addison - Alabama,NA,NA,NA
28 oct,76.5,48.4,3.27,55.28,0,0,Climate Addison - Alabama,NA,NA,NA
29 oct,76.2,48.1,3.39,55.43,0,0,Climate Addison - Alabama,NA,NA,NA
30 oct,76,47.9,3.5,55.55,0,0,Climate Addison - Alabama,NA,NA,NA
31 oct,75.7,47.6,3.66,55.71,0,0,Climate Addison - Alabama,NA,NA,NA
1 nov,75.5,47.3,0.16,55.87,0,0,Climate Addison - Alabama,NA,NA,NA
2 nov,75.2,47,0.35,56.02,0,0,Climate Addison - Alabama,NA,NA,NA
3 nov,75,46.7,0.51,56.18,0,0,Climate Addison - Alabama,NA,NA,NA
4 nov,74.7,46.5,0.71,56.38,0,0,Climate Addison - Alabama,NA,NA,NA
5 nov,74.5,46.2,0.87,56.57,0,0,Climate Addison - Alabama,NA,NA,NA
6 nov,74.2,45.9,1.06,56.73,0,0,Climate Addison - Alabama,NA,NA,NA
7 nov,74,45.7,1.22,56.93,0,0,Climate Addison - Alabama,NA,NA,NA
8 nov,73.7,45.4,1.42,57.13,0,0,Climate Addison - Alabama,NA,NA,NA
9 nov,73.4,45.2,1.61,57.28,0,0,Climate Addison - Alabama,NA,NA,NA
10 nov,73.2,44.9,1.81,57.48,0,0,Climate Addison - Alabama,NA,NA,NA
11 nov,72.9,44.7,2.01,57.68,0,0,Climate Addison - Alabama,NA,NA,NA
12 nov,72.6,44.4,2.2,57.87,0,0,Climate Addison - Alabama,NA,NA,NA
13 nov,72.3,44.2,2.36,58.07,0,0,Climate Addison - Alabama,NA,NA,NA
14 nov,72,44,2.56,58.27,0,0,Climate Addison - Alabama,NA,NA,NA
15 nov,71.8,43.7,2.76,58.46,0,0,Climate Addison - Alabama,NA,NA,NA
16 nov,71.5,43.5,2.95,58.62,0,0,Climate Addison - Alabama,NA,NA,NA
17 nov,71.2,43.2,3.15,58.82,0,0,Climate Addison - Alabama,NA,NA,NA
18 nov,70.9,43,3.35,59.02,0,0,Climate Addison - Alabama,NA,NA,NA
19 nov,70.6,42.8,3.5,59.21,0,0,Climate Addison - Alabama,NA,NA,NA
20 nov,70.3,42.6,3.7,59.37,0,0,Climate Addison - Alabama,NA,NA,NA
21 nov,70,42.3,3.86,59.57,0,0,Climate Addison - Alabama,NA,NA,NA
22 nov,69.7,42.1,4.06,59.72,0,0,Climate Addison - Alabama,NA,NA,NA
23 nov,69.3,41.9,4.21,59.92,0,0,Climate Addison - Alabama,NA,NA,NA
24 nov,69,41.7,4.41,60.08,0,0,Climate Addison - Alabama,NA,NA,NA
25 nov,68.7,41.5,4.53,60.24,0,0,Climate Addison - Alabama,NA,NA,NA
26 nov,68.4,41.3,4.69,60.39,0,0,Climate Addison - Alabama,NA,NA,NA
27 nov,68.1,41.1,4.84,60.51,0,0,Climate Addison - Alabama,NA,NA,NA
28 nov,67.8,40.9,5,60.71,0,0,Climate Addison - Alabama,NA,NA,NA
29 nov,67.5,40.7,5.16,60.87,0,0,Climate Addison - Alabama,NA,NA,NA
30 nov,67.2,40.5,5.35,61.02,0,0,Climate Addison - Alabama,NA,NA,NA
1 dec,66.9,40.3,0.16,61.18,0,0,Climate Addison - Alabama,NA,NA,NA
2 dec,66.6,40.1,0.31,61.34,0,0,Climate Addison - Alabama,NA,NA,NA
3 dec,66.3,40,0.43,61.46,0,0,Climate Addison - Alabama,NA,NA,NA
4 dec,66,39.8,0.59,61.61,0,0,Climate Addison - Alabama,NA,NA,NA
5 dec,65.7,39.6,0.75,61.77,0,0,Climate Addison - Alabama,NA,NA,NA
6 dec,65.4,39.4,0.91,61.93,0,0,Climate Addison - Alabama,NA,NA,NA
7 dec,65.1,39.3,1.02,62.05,0,0,Climate Addison - Alabama,NA,NA,NA
8 dec,64.8,39.1,1.18,62.2,0,0,Climate Addison - Alabama,NA,NA,NA
9 dec,64.6,39,1.34,62.36,0,0,Climate Addison - Alabama,NA,NA,NA
10 dec,64.3,38.8,1.46,62.48,0,0,Climate Addison - Alabama,NA,NA,NA
11 dec,64,38.7,1.61,62.64,0,0,Climate Addison - Alabama,NA,NA,NA
12 dec,63.8,38.5,1.73,62.76,0,0,Climate Addison - Alabama,NA,NA,NA
13 dec,63.6,38.4,1.85,62.91,0,0,Climate Addison - Alabama,NA,NA,NA
14 dec,63.3,38.3,2.01,63.03,0,0,Climate Addison - Alabama,NA,NA,NA
15 dec,63.1,38.1,2.17,63.19,0,0,Climate Addison - Alabama,NA,NA,NA
16 dec,62.9,38,2.28,63.35,0,0,Climate Addison - Alabama,NA,NA,NA
17 dec,62.7,37.9,2.44,63.46,0,0,Climate Addison - Alabama,NA,NA,NA
18 dec,62.5,37.8,2.6,63.62,0,0,Climate Addison - Alabama,NA,NA,NA
19 dec,62.4,37.7,2.76,63.82,0,0,Climate Addison - Alabama,NA,NA,NA
20 dec,62.2,37.6,2.91,63.98,0,0,Climate Addison - Alabama,NA,NA,NA
21 dec,62,37.5,3.07,64.13,0,0,Climate Addison - Alabama,NA,NA,NA
22 dec,61.9,37.4,3.27,64.29,0,0,Climate Addison - Alabama,NA,NA,NA
23 dec,61.8,37.3,3.43,64.45,0,0,Climate Addison - Alabama,NA,NA,NA
24 dec,61.6,37.2,3.62,64.65,0,0,Climate Addison - Alabama,NA,NA,NA
25 dec,61.5,37.1,3.82,64.84,0,0,Climate Addison - Alabama,NA,NA,NA
26 dec,61.4,37,3.98,65,0,0,Climate Addison - Alabama,NA,NA,NA
27 dec,61.3,37,4.13,65.2,0,0,Climate Addison - Alabama,NA,NA,NA
28 dec,61.3,36.9,4.33,65.35,0,0,Climate Addison - Alabama,NA,NA,NA
29 dec,61.2,36.8,4.49,65.51,0,0,Climate Addison - Alabama,NA,NA,NA
30 dec,61.1,36.8,4.65,65.67,0,0,Climate Addison - Alabama,NA,NA,NA
31 dec,61.1,36.7,4.8,65.87,0,0,Climate Addison - Alabama,NA,NA,NA
1 jan,48.4,27.6,0.2,0.2,0,0,Climate Addison - Alabama,NA,NA,NA
2 jan,48.3,27.5,0.43,0.43,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
3 jan,48.2,27.5,0.63,0.63,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
4 jan,48.2,27.4,0.83,0.83,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
5 jan,48.1,27.4,1.06,1.06,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
6 jan,48.1,27.3,1.26,1.26,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
7 jan,48,27.3,1.46,1.46,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
8 jan,48,27.3,1.65,1.65,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
9 jan,48,27.3,1.85,1.85,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
10 jan,48,27.3,2.05,2.05,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
11 jan,48,27.3,2.28,2.28,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
12 jan,48,27.3,2.44,2.44,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
13 jan,48,27.3,2.64,2.64,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
14 jan,48,27.4,2.83,2.83,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
15 jan,48,27.4,3.03,3.03,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
16 jan,48.1,27.4,3.23,3.23,0.51,0.51,Climate Addison - Alabama,NA,NA,NA
17 jan,48.1,27.5,3.43,3.43,0.51,0.51,Climate Addison - Alabama,NA,NA,NA
18 jan,48.2,27.5,3.62,3.62,0.59,0.59,Climate Addison - Alabama,NA,NA,NA
19 jan,48.2,27.6,3.82,3.82,0.59,0.59,Climate Addison - Alabama,NA,NA,NA
20 jan,48.3,27.7,4.02,4.02,0.59,0.59,Climate Addison - Alabama,NA,NA,NA
21 jan,48.4,27.7,4.21,4.21,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
22 jan,48.4,27.8,4.41,4.41,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
23 jan,48.5,27.9,4.61,4.61,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
24 jan,48.6,28,4.76,4.76,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
25 jan,48.8,28.1,4.96,4.96,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
26 jan,48.9,28.2,5.12,5.12,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
27 jan,49,28.3,5.28,5.28,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
28 jan,49.2,28.4,5.47,5.47,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
29 jan,49.3,28.5,5.63,5.63,0.79,0.79,Climate Addison - Alabama,NA,NA,NA
30 jan,49.5,28.7,5.79,5.79,0.79,0.79,Climate Addison - Alabama,NA,NA,NA
31 jan,49.7,28.8,5.98,5.98,0.79,0.79,Climate Addison - Alabama,NA,NA,NA
1 feb,49.8,28.9,0.2,6.14,0,0.79,Climate Addison - Alabama,NA,NA,NA
2 feb,50,29.1,0.35,6.34,0,0.79,Climate Addison - Alabama,NA,NA,NA
3 feb,50.2,29.2,0.55,6.54,0,0.79,Climate Addison - Alabama,NA,NA,NA
4 feb,50.5,29.4,0.75,6.69,0,0.79,Climate Addison - Alabama,NA,NA,NA
5 feb,50.7,29.6,0.91,6.89,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
6 feb,50.9,29.7,1.1,7.09,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
7 feb,51.2,29.9,1.3,7.28,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
8 feb,51.4,30.1,1.5,7.44,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
9 feb,51.7,30.3,1.65,7.64,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
10 feb,51.9,30.5,1.85,7.83,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
11 feb,52.2,30.7,2.05,8.03,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
12 feb,52.5,30.9,2.24,8.19,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
13 feb,52.8,31.1,2.4,8.39,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
14 feb,53.1,31.3,2.64,8.58,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
15 feb,53.4,31.5,2.8,8.78,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
16 feb,53.7,31.7,3.03,8.98,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
17 feb,54,31.9,3.23,9.17,0.12,0.91,Climate Addison - Alabama,NA,NA,NA
18 feb,54.3,32.2,3.43,9.41,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
19 feb,54.6,32.4,3.62,9.61,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
20 feb,54.9,32.6,3.82,9.8,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
21 feb,55.3,32.8,4.02,10,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
22 feb,55.6,33.1,4.25,10.2,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
23 feb,55.9,33.3,4.45,10.43,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
24 feb,56.3,33.5,4.69,10.67,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
25 feb,56.6,33.8,4.88,10.87,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
26 feb,56.9,34,5.12,11.06,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
27 feb,57.2,34.2,5.31,11.3,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
28 feb,57.6,34.4,5.51,11.5,0.2,0.98,Climate Addison - Alabama,NA,NA,NA
29 feb,57.7,34.6,0,0,0,0,Climate Addison - Alabama,NA,NA,NA
1 mar,57.9,34.7,0.2,11.69,0,0.98,Climate Addison - Alabama,NA,NA,NA
2 mar,58.2,34.9,0.39,11.85,0,0.98,Climate Addison - Alabama,NA,NA,NA
3 mar,58.6,35.1,0.55,12.05,0,0.98,Climate Addison - Alabama,NA,NA,NA
4 mar,58.9,35.3,0.75,12.24,0,0.98,Climate Addison - Alabama,NA,NA,NA
5 mar,59.2,35.6,0.91,12.4,0,0.98,Climate Addison - Alabama,NA,NA,NA
6 mar,59.6,35.8,1.1,12.6,0,0.98,Climate Addison - Alabama,NA,NA,NA
7 mar,59.9,36,1.3,12.8,0,0.98,Climate Addison - Alabama,NA,NA,NA
8 mar,60.2,36.2,1.46,12.95,0,0.98,Climate Addison - Alabama,NA,NA,NA
